product_id,product_name,product_price,product_quantity,date_updated
1,Bagel - Whole White Sesame,$4.30,97,11/01/2018
2,Sauce - Caesar Dressing,$8.25,16,04/10/2019
3,Shiratamako - Rice Flour,$7.99,71,03/07/2018
4,Tart - Raisin And Pecan,$1.06,86,01/18/2019
5,Radish,$2.47,22,11/06/2018
6,Juice - V8 Splash,$1.15,67,01/13/2018
7,Red Currants,$6.77,49,10/01/2018
8,Soup - Base Broth Beef,$5.44,62,03/09/2019
9,Tomatoes Tear Drop Yellow,$0.64,73,02/09/2019
10,Mussels - Cultivated,$9.34,24,07/31/2018
11,"Bread - Crumbs, Bulk",$4.49,88,01/12/2019
12,"Beans - Long, Chinese",$4.73,47,09/22/2018
13,"Beans - Navy, Dry",$4.60,44,01/20/2018
14,"Basil - Dry, Rubbed",$8.69,21,02/04/2018
15,Apple - Granny Smith,$5.06,72,01/12/2018
16,"Lid - High Heat, Super Clear",$1.23,5,02/09/2018
17,Oranges - Navel,$4.78,46,06/06/2018
18,Berry Brulee,$7.59,50,08/25/2018
19,Lobster - Canned Premium,$7.61,57,04/15/2018
20,Ham - Procutinni,$5.70,8,01/09/2019
21,Veal - Ground,$7.67,5,12/19/2018
22,Oil - Cooking Spray,$4.20,6,06/11/2018
23,"Extract - Vanilla,artificial",$2.91,20,06/08/2018
24,"Mushroom - Porcini, Dry",$8.14,71,07/26/2018
25,Wine - Chateau Bonnet,$7.41,54,03/10/2018
26,chips,$3.00,4,05/21/2020
